"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","ST52SA","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Surface Area (aparc.stats) of LeftPrecuneus","-4","-4","N","5","0","","-4","-4","mm2","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","ST52TA","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Thickness Average (aparc.stats) of LeftPrecuneus","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","ST52TS","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Thickness Stardard Deviation (aparc.stats) of LeftPrecuneus","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","ST52CV","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Cortical Volume (aparc.stats) of LeftPrecuneus","-4","-4","N","5","0","","-4","-4","mm3","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","ST53SV","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Subcortical Volume (aseg.stats) of LeftPutamen","-4","-4","N","8","1","","-4","-4","mm3","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","ST54SA","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Surface Area (aparc.stats) of LeftRostralAnteriorCingulate","-4","-4","N","5","0","","-4","-4","mm2","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","ST54TA","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Thickness Average (aparc.stats) of LeftRostralAnteriorCingulate","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","ST54TS","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Thickness Stardard Deviation (aparc.stats) of LeftRostralAnteriorCingulate","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","ST54CV","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Cortical Volume (aparc.stats) of LeftRostralAnteriorCingulate","-4","-4","N","5","0","","-4","-4","mm3","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","ST55SA","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Surface Area (aparc.stats) of LeftRostralMiddleFrontal","-4","-4","N","5","0","","-4","-4","mm2","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","ST55TA","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Thickness Average (aparc.stats) of LeftRostralMiddleFrontal","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","ST55TS","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Thickness Stardard Deviation (aparc.stats) of LeftRostralMiddleFrontal","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","ST55CV","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Cortical Volume (aparc.stats) of LeftRostralMiddleFrontal","-4","-4","N","5","0","","-4","-4","mm3","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","ST56SA","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Surface Area (aparc.stats) of LeftSuperiorFrontal","-4","-4","N","5","0","","-4","-4","mm2","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
