"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","ST59TA","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Cortical Thickness Average of LeftSupramarginal","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST59TS","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Cortical Thickness Standard Deviation of LeftSupramarginal","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST5SV","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Volume (WM Parcellation) of CorpusCallosumMidPosterior","-4","-4","N","8","1","","-4","-4","mm3","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST60CV","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Volume (Cortical Parcellation) of LeftTemporalPole","-4","-4","N","5","0","","-4","-4","mm3","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST60SA","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Surface Area of LeftTemporalPole","-4","-4","N","5","0","","-4","-4","mm2","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST60TA","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Cortical Thickness Average of LeftTemporalPole","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST60TS","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Cortical Thickness Standard Deviation of LeftTemporalPole","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST61SV","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Volume (WM Parcellation) of LeftThalamus","-4","-4","N","8","1","","-4","-4","mm3","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST62CV","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Volume (Cortical Parcellation) of LeftTransverseTemporal","-4","-4","N","5","0","","-4","-4","mm3","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST62SA","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Surface Area of LeftTransverseTemporal","-4","-4","N","5","0","","-4","-4","mm2","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST62TA","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Cortical Thickness Average of LeftTransverseTemporal","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST62TS","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Cortical Thickness Standard Deviation of LeftTransverseTemporal","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST63SV","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Volume (WM Parcellation) of LeftUndetermined","-4","-4","N","8","1","","-4","-4","mm3","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST64CV","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Volume (Cortical Parcellation) of LeftUnknown","-4","-4","N","5","0","","-4","-4","mm3","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST64SA","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Surface Area of LeftUnknown","-4","-4","N","5","0","","-4","-4","mm2","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST64TA","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Cortical Thickness Average of LeftUnknown","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST64TS","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Cortical Thickness Standard Deviation of LeftUnknown","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST65SV","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Volume (WM Parcellation) of LeftVentralDC","-4","-4","N","8","1","","-4","-4","mm3","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST66SV","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Volume (WM Parcellation) of LeftVessel","-4","-4","N","8","1","","-4","-4","mm3","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
